attribute_name,attribute_type
a-line,3
abstract,1
acid wash,2
americana,5
angeles,5
animal,1
ankle,3
applique,2
arrow collar,4
art,5
asymmetric,3
athletic,5
audrey,5
babe,5
backless,4
baja,3
bandage,3
bandana,1
baroque,1
baseball,5
basic,5
basquiat,5
batwing,4
beach,5
bead,2
beatles,5
bed,5
bejeweled,2
bell,4
bella,5
belted,4
bermuda,3
bib,3
big,3
bike,5
blah,5
bleach,2
blurred,5
boat neck,4
bodycon,3
boho,5
bold,5
botanical,1
bow,4
box,3
boyfriend,5
braided,4
breton,1
brocade,2
brooklyn,5
brushstroke,1
burnout,2
bustier,3
butterfly,1
button,4
cable,2
caged,3
california,5
camera,5
cami,3
camo,1
candy,5
canvas,2
cap-sleeve,4
capri,3
cardio,5
cargo,3
cat,5
chambray,2
checked,1
cheetah,1
chenille,2
chevron,1
chic,5
chiffon,2
chino,2
chunky,2
cinched,4
circle,1
cities,5
clashist,1
classic,5
clean,2
cloud,2
coast,5
coated,2
coffee,5
collar,4
collarless,4
colorblock,1
combo,3
contrast,4
convertible,4
corduroy,2
cotton,2
cover-up,3
cowl,4
cozy,3
crepe,2
crew,4
crinkled,2
crisscross,4
crochet,2
crop,3
crossback,4
cuffed,4
curved,4
cut,3
cute,5
cutoff,3
cutout,3
dainty,5
daisy,1
damask,2
daring,5
dark,5
darling,5
deep-v,4
defyant,5
denim,2
desert,5
destroyed,5
devil,5
diamond,1
dip-dye,2
distressed,2
ditsy,1
doll,5
dolman,4
dolphin,4
doodle,5
dot,1
double-breasted,4
draped,4
drapey,3
drawstring,4
dream,5
dropped,4
dye,2
dynamite,5
eagle,5
edge,5
eiffel,5
elasticized,2
elegant,5
elephant,4
embellished,2
embroidered,2
enchanted,5
ethereal,5
everyday,5
eyelash,2
eyelet,2
faded,2
fair,2
fan,5
fancy,5
faux,2
feather,2
festive,5
field,5
fisherman,5
fit,3
flare,3
flat,4
flawless,5
flirty,5
floral,1
flounce,4
flounced,4
flowy,3
floyd,5
fluted,4
flutter,4
folk,1
foulard,2
fox,5
france,5
frayed,2
free spirit,5
french,2
fresh,5
frida,5
fringe,4
fur,2
fuzzy,2
galaxy,5
garden,5
gathered waistline,4
gaucho,3
gauze,2
gem,2
genuine,5
geo,1
georgette,2
gingham,2
giraffe,1
girl,5
glass,2
glitter,2
graphic,1
grid,1
grunge,5
guns,5
halen,5
harem,3
heart,1
heat,5
heathered,2
hem,4
hepburn,5
heroes,5
herringbone,2
high-neck,4
high-rise,3
high-slit,4
high-waist,4
hood,4
houndstooth,1
ikat,1
illusion,4
inset,5
internet,5
island,5
isle,5
jacquard,2
joie,5
kahlo,5
kaleidoscope,1
kangaroo,4
keyhole,4
kid,5
killin,5
kiss,5
kitty,5
knee-length,3
knit,2
knotted,4
kurt,3
la,5
lace,2
lace-up,4
lacy,2
ladder-back,4
lady,5
lakers,5
lapel,4
laser,5
lattice,2
layered,2
leaf,1
leather,2
leather,2
led,2
leopard,1
life,5
light,5
linen,1
logo,5
long sleeve,4
longline,3
loop,2
loose,2
lounge,5
love,5
low-rise,3
loyal,5
luxe,5
m-slit,4
mandala,1
mandarin,5
map,5
marble,1
marilyn,5
marled,1
matelot,5
maxi,3
medallion,1
medium,3
meow,5
mesh,2
metallic,2
miami,5
mickey,5
mid rise,3
midi,3
mina,5
mineral,2
mini,3
minnie,5
mirrored,5
mixed,1
mob,5
mock,4
mod,5
modernist,5
moon,5
morning,5
mosaic,1
moto,3
muscle,3
muse,5
nautical,1
neckline,4
neon,2
neoprene,2
nets,2
netted,2
new york,5
night,5
notched collar,4
notorious,5
nylon,2
off-the-shoulder,4
oil,2
ombre,1
one-shoulder,4
open-back,4
open-front,4
open-shoulder,4
organza,2
origami,2
ornate,1
overlay,2
oversized,3
oxford,5
paint,1
paisley,1
palm,1
pan,5
panel,2
paradise,5
paris,5
party,5
patched,2
pattern,1
peasant,3
pencil,3
peplum,4
perforated,2
performance,5
pima,2
pin,4
pineapple,5
pink,5
pinstripe,1
pintuck,2
pizza,5
pj,5
plaid,2
please,5
pleat,2
pocket,4
pointelle,2
polka dot,1
polo,3
pom-pom,1
ponte,2
popcorn,5
popover,3
posh,5
power,5
print,1
puffer,3
pullover,3
purl,2
quilted,2
quirky,5
racerback,4
rad,5
raga,5
raglan,4
rainbow,5
rebel,5
red,5
refined,5
regime,5
relaxed,5
retro,5
reverse,5
rhinestone,2
rib,2
ringer,1
ripped,2
rise,3
roll,5
roman,5
rose,5
round,3
ruched,2
ruffle,2
rugby,5
run,5
rustic,5
safari,5
sateen,2
satin,2
scallop,4
scoop,4
scuba,2
sea,5
seam,2
seamless,2
seersucker,2
self-tie,4
semi-sheer,2
sequin,2
shaggy,2
shark,5
shawl,4
shearling,2
sheath,3
sheer,2
shift,3
shirred,2
shirt,3
shopping,5
shore,5
shoulder,4
shredded,2
skater,3
skinny,3
skort,3
sky,5
sleek,2
sleeve,4
sleeveless,4
slick,2
slim,3
slip,3
slit,4
slouchy,3
slub,2
smart,5
smile,5
smock,3
snap,5
snoopy,5
soft,5
solid,5
sophisticated,1
southwestern,1
sparkling,2
speckled,1
spirit,5
splatter,1
split,4
spongebob,5
sporty,5
spotted,1
springs,5
square,3
standout,5
star,5
stone,2
straight-leg,3
strap,4
strapless,4
stretch,2
stripe,1
structured,1
studded,2
studio,5
suede,2
summer,5
sun,5
sunflower,5
surfer,5
surplice,4
suspender,4
sweet,5
swing,3
swiss,5
t-back,4
taco,5
tapestry,2
tartan,2
tasmanian,5
tassel,4
texas,5
textured,2
thermal,5
tiered,2
tile,2
toggle,4
tokyo,5
tonal,1
topstitched,4
tower,5
track,5
training,5
trapeze,3
tree,5
trench,5
triangle,5
tribal,1
trim,4
tropical,5
trouble,5
trouser,3
tube,3
tulip,3
tulle,2
tunic,3
tupac,5
turtle-neck,4
tweed,2
twill,2
twisted,4
utility,5
v-neck,4
van,5
varsity,5
velvet,2
venice,5
vent,4
vertical,3
voyager,5
waffle,2
wake,5
wash,2
watercolor,1
wave,5
weekend,5
west,5
wide-leg,3
wifey,5
wild,5
windbreaker,3
windowpane,3
woke,5
workout,5
woven,2
wrap,3
y-back,4
yoga,5
yoke,5
york,5
youth,5
zeppelin,5
zig,1
zip,4